TransactionID,AccountID,TransactionAmount,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,FraudLabel,TimeSinceLastTransaction,Fraud_IF,Fraud_OCSVM,Fraud_DBSCAN,Total_Fraud_Detections
TX000044,AC00117,55.32,1,40,192,219,8,0,19,Student,117,1,241.79,0,-49392266.0,0,0,0,0
TX000045,AC00011,304.31,1,21,665,523,4,1,27,Student,33,1,868.61,0,-40317445.0,0,0,0,0
TX000046,AC00401,435.27,1,6,288,286,50,1,74,Retired,90,1,4673.28,0,-34266103.0,0,0,0,0
TX000047,AC00282,164.49,1,3,101,43,69,1,26,Student,75,1,1509.27,0,-28224535.0,0,0,0,0
TX000048,AC00439,510.24,1,28,382,245,89,2,19,Student,105,1,781.7,0,-33838915.0,0,0,0,0
TX000049,AC00296,626.9,1,10,276,574,22,2,26,Student,138,1,265.51,0,-29604087.0,0,0,0,0
TX000050,AC00471,22.01,0,34,294,76,54,2,41,Engineer,175,1,1335.09,0,-50772073.0,0,0,0,0
TX000051,AC00159,425.34,0,18,641,109,39,2,69,Retired,121,1,3907.54,0,-54400048.0,0,0,0,0
TX000052,AC00482,424.56,1,29,580,231,14,2,51,Engineer,264,1,5183.85,0,-53706187.0,0,0,0,0
TX000053,AC00115,85.43,1,41,229,278,77,1,67,Doctor,145,1,14904.9,0,-44551271.0,0,0,0,0
TX000054,AC00055,169.5,1,36,427,428,35,1,28,Student,142,1,918.88,0,-36602251.0,0,0,0,0
TX000055,AC00419,104.63,1,29,622,245,94,0,62,Retired,90,1,4477.78,0,-50595806.0,0,0,0,0
TX000056,AC00374,316.95,1,23,12,540,51,1,25,Student,83,1,1324.03,0,-39536135.0,0,0,0,0
TX000057,AC00271,60.54,0,8,447,0,94,1,57,Retired,52,1,3534.93,0,-28131440.0,0,0,0,0
TX000058,AC00456,292.56,0,9,301,293,74,1,68,Retired,61,1,4638.37,0,-52842608.0,0,0,0,0
TX000059,AC00143,386.52,1,16,143,246,63,1,48,Engineer,28,1,5630.61,0,-44380134.0,0,0,0,0
TX000060,AC00427,112.07,1,18,87,290,63,1,23,Student,51,1,930.3,0,-34443375.0,0,0,0,0
TX000061,AC00438,568.52,1,16,227,376,93,0,46,Engineer,152,1,5499.91,0,-34089708.0,0,0,0,0
TX000062,AC00002,263.99,1,9,277,511,86,1,79,Retired,227,2,4175.02,0,-46454613.0,0,0,1,1
TX000063,AC00425,349.64,1,19,499,566,96,2,48,Engineer,226,1,6651.62,0,-31331986.0,0,0,0,0
TX000064,AC00325,601.4,0,30,531,77,0,1,56,Engineer,104,1,8458.29,0,-45239076.0,0,0,0,0
TX000065,AC00434,5.77,1,5,446,156,70,2,50,Doctor,124,1,13988.12,0,-31766992.0,0,0,0,0
TX000066,AC00242,201.33,0,26,96,126,2,1,42,Engineer,186,1,2585.07,0,-50598670.0,0,0,0,0
TX000067,AC00319,298.42,1,16,420,571,4,1,56,Retired,225,1,3014.75,0,-48268728.0,0,0,0,0
TX000068,AC00460,521.06,1,0,295,88,62,1,25,Student,128,1,1951.42,0,-48864683.0,0,0,0,0
TX000069,AC00461,117.28,0,2,126,440,56,2,60,Engineer,16,1,3665.77,0,-54747138.0,1,1,0,2
TX000070,AC00395,189.12,0,16,664,78,39,1,32,Engineer,103,1,977.01,0,-30813974.0,0,0,0,0
TX000071,AC00217,133.55,1,1,196,422,90,0,44,Engineer,220,1,3846.28,0,-41011098.0,0,0,0,0
TX000072,AC00053,143.21,1,9,395,501,65,2,35,Engineer,135,1,6374.82,0,-57078550.0,0,0,0,0
TX000073,AC00282,24.77,1,4,176,566,69,0,62,Retired,55,1,5866.01,0,-42213102.0,0,0,0,0
TX000074,AC00110,233.92,0,17,286,150,45,2,26,Student,280,1,6537.62,0,-32886857.0,0,0,1,1
TX000075,AC00265,1212.51,1,16,225,277,35,1,20,Student,24,1,605.95,0,-34270222.0,0,0,1,1
TX000076,AC00239,232.12,1,29,72,160,65,0,37,Engineer,51,1,6689.87,0,-26923094.0,0,0,0,0
TX000077,AC00007,162.63,1,18,69,484,59,2,22,Student,113,1,634.17,0,-44115270.0,0,0,0,0
TX000078,AC00022,91.53,1,25,351,582,94,1,44,Doctor,69,1,14676.05,0,-51982764.0,0,0,0,0
TX000079,AC00464,120.29,1,24,544,186,44,1,19,Student,77,1,1362.39,0,-27782423.0,0,0,0,0
TX000080,AC00014,174.25,1,39,360,87,31,2,50,Doctor,67,1,10528.34,0,-41087758.0,0,0,0,0
TX000081,AC00406,183.71,1,10,471,556,73,0,38,Engineer,102,1,552.52,0,-43508861.0,0,0,0,0
TX000082,AC00445,345.39,0,31,95,88,80,2,58,Engineer,80,1,6451.96,0,-32626459.0,0,0,0,0
TX000083,AC00236,922.55,1,11,201,328,3,0,63,Retired,87,1,4715.84,0,-56216299.0,0,0,0,0
TX000084,AC00220,259.91,1,10,596,406,27,2,49,Doctor,170,1,7176.86,0,-31419328.0,0,0,0,0
TX000085,AC00140,154.71,1,36,477,200,29,2,34,Doctor,157,1,1523.72,0,-42305358.0,0,0,0,0
TX000086,AC00098,1340.19,0,2,557,193,11,2,54,Engineer,30,1,8654.28,1,-34699483.0,1,1,1,4
TX000087,AC00303,24.56,1,23,413,171,32,1,64,Doctor,69,1,9869.93,0,-32885070.0,0,0,0,0
TX000088,AC00373,568.07,1,42,17,532,53,0,48,Doctor,115,1,10556.81,0,-37465419.0,0,0,0,0
TX000089,AC00438,9.61,0,36,438,89,42,2,58,Doctor,179,1,12883.91,0,-43248701.0,0,0,0,0
TX000090,AC00437,392.96,1,18,139,246,21,2,24,Student,100,1,791.65,0,-30210029.0,0,0,0,0
TX000091,AC00106,716.93,0,25,311,12,51,2,60,Retired,34,1,4064.02,0,-35997519.0,0,0,0,0
TX000092,AC00310,223.85,1,18,465,90,8,0,53,Engineer,55,4,2929.91,1,-34443111.0,0,0,1,2
TX000093,AC00149,230.66,1,15,509,487,48,1,21,Student,135,1,618.05,0,-50766880.0,0,0,0,0
TX000094,AC00373,442.12,1,20,625,205,46,2,19,Student,260,1,1375.8,0,-27531078.0,0,0,0,0
TX000095,AC00425,644.17,1,35,174,196,92,0,29,Engineer,72,1,1143.52,1,-52934575.0,0,0,0,1
TX000096,AC00010,508.68,0,23,602,272,47,1,51,Engineer,127,1,7708.41,0,-42911562.0,0,0,0,0
TX000097,AC00348,858.63,0,37,18,225,1,1,27,Student,185,1,1872.96,0,-48869004.0,1,0,0,1
TX000098,AC00011,25.36,1,21,187,490,6,0,57,Engineer,78,1,201.04,1,-41094161.0,0,0,0,1
TX000099,AC00453,147.62,1,5,91,144,27,1,71,Retired,133,1,2115.8,0,-37118480.0,0,0,0,0
TX000100,AC00178,115.02,1,35,511,94,3,1,37,Doctor,175,1,7643.66,0,-36258574.0,0,0,0,0
TX000101,AC00265,383.37,1,13,310,232,65,1,30,Engineer,24,1,8901.93,0,-56126831.0,0,0,0,0
TX000102,AC00018,98.54,0,12,511,398,94,2,20,Student,167,1,9383.43,0,-38937076.0,0,0,0,0
TX000103,AC00075,83.24,0,13,589,327,8,1,55,Doctor,164,1,1181.31,1,-33226541.0,0,0,0,1
TX000104,AC00464,196.16,1,41,160,315,98,1,27,Engineer,146,1,9418.86,0,-53451549.0,0,0,0,0
TX000105,AC00170,129.94,1,19,627,36,44,0,32,Engineer,235,1,7954.92,0,-58030233.0,0,0,0,0
TX000106,AC00235,306.9,1,7,77,584,46,2,46,Engineer,51,1,9418.08,0,-29345985.0,0,0,0,0
TX000107,AC00013,114.98,1,39,178,51,31,2,59,Retired,80,1,6144.68,0,-31850243.0,0,0,0,0
TX000108,AC00397,756.59,1,34,27,222,11,1,27,Student,17,1,420.65,0,-52586678.0,0,0,0,0
TX000109,AC00423,503.76,1,20,501,344,82,2,22,Student,35,1,447.82,0,-29597793.0,0,0,0,0
TX000110,AC00154,143.03,1,35,453,286,54,0,63,Retired,147,1,7981.45,0,-39886376.0,0,0,0,0
TX000111,AC00068,1045.22,1,8,385,525,76,0,53,Retired,73,1,1829.9,0,-30038036.0,0,0,0,0
TX000112,AC00318,245.54,1,27,519,432,88,0,25,Student,180,1,985.06,0,-51291655.0,0,0,0,0
TX000113,AC00396,254.37,0,9,461,121,11,2,51,Engineer,174,1,8849.26,0,-48692406.0,0,0,0,0
TX000114,AC00121,213.76,0,9,557,457,8,0,78,Retired,282,1,3528.72,0,-53014642.0,1,1,1,3
TX000115,AC00336,327.86,1,14,635,251,50,2,40,Engineer,104,1,480.16,0,-54659622.0,0,0,0,0
TX000116,AC00468,2.5,1,36,653,434,41,2,47,Doctor,107,1,12145.27,1,-40750002.0,0,0,0,1
TX000117,AC00282,300.08,0,2,259,555,39,2,68,Doctor,47,1,13546.75,0,-33836975.0,1,1,1,3
TX000118,AC00498,56.98,0,28,250,13,85,0,43,Engineer,122,2,5688.37,0,-26580812.0,1,0,1,2
TX000119,AC00085,407.65,1,4,527,589,40,2,26,Engineer,62,1,8346.64,0,-41961292.0,0,0,0,0
TX000120,AC00092,115.83,1,14,643,76,85,1,39,Engineer,167,1,6481.04,0,-45932410.0,0,0,0,0
TX000121,AC00295,53.57,1,15,472,439,24,0,69,Retired,121,1,1651.33,0,-38505091.0,0,0,0,0
TX000122,AC00358,63.34,0,11,419,509,27,2,46,Doctor,165,1,11174.94,0,-30470891.0,0,0,0,0
TX000123,AC00311,317.87,1,11,303,529,75,2,27,Student,91,1,145.5,0,-45931317.0,0,0,0,0
TX000124,AC00066,331.65,1,32,36,375,5,2,41,Engineer,61,1,4172.57,0,-37723493.0,0,0,0,0
TX000125,AC00340,5.04,1,42,20,494,0,0,56,Retired,41,1,5558.36,0,-29604734.0,0,0,0,0
TX000126,AC00284,214.54,0,11,110,282,25,2,70,Doctor,247,1,11151.53,0,-39536712.0,0,0,0,0
TX000127,AC00208,598.81,1,30,41,571,80,1,57,Doctor,158,1,1415.52,0,-36861698.0,0,0,0,0
TX000128,AC00176,841.28,1,40,268,12,82,2,26,Student,80,1,1103.64,1,-39105332.0,0,0,0,1
TX000129,AC00053,38.15,1,23,667,524,4,2,26,Student,108,1,303.68,0,-36604802.0,0,0,0,0
TX000130,AC00320,1036.66,1,35,14,464,61,1,58,Doctor,144,1,5541.57,0,-41614171.0,0,0,0,0
TX000131,AC00382,124.72,1,28,116,136,3,1,33,Engineer,105,1,6309.8,0,-42303198.0,0,0,0,0
TX000132,AC00384,302.45,0,35,51,313,58,1,78,Retired,40,1,5133.61,0,-35045899.0,0,0,0,0
TX000133,AC00203,208.04,1,21,327,502,54,2,47,Engineer,273,1,9344.98,0,-30207523.0,0,0,0,0
TX000134,AC00498,5.77,0,20,230,555,97,1,23,Student,254,1,1117.97,0,-30465826.0,0,0,0,0
TX000135,AC00349,381.33,1,0,615,491,33,0,56,Doctor,75,1,11835.35,0,-38071407.0,0,0,0,0
TX000136,AC00177,16.16,1,25,450,181,64,0,50,Doctor,124,1,14401.17,0,-33232343.0,0,0,0,0
TX000137,AC00284,486.08,1,28,166,108,59,2,18,Student,68,1,1748.69,0,-43425913.0,0,0,0,0
TX000138,AC00272,336.39,1,35,411,313,2,1,21,Student,18,1,1000.46,0,-56819779.0,0,0,0,0
TX000139,AC00405,997.43,1,39,641,10,66,2,69,Doctor,118,1,6810.05,1,-30038466.0,0,0,0,1
TX000140,AC00385,234.57,1,6,536,436,44,2,23,Student,120,1,263.98,0,-37123179.0,0,0,0,0
TX000141,AC00403,6.0,1,6,539,232,89,2,30,Doctor,246,1,5442.76,0,-32621488.0,0,0,0,0
TX000142,AC00114,1049.92,1,11,505,72,51,0,80,Retired,21,1,2037.85,0,-32628001.0,1,1,0,2
TX000143,AC00163,227.14,1,5,424,286,56,0,18,Student,294,1,341.94,0,-42301766.0,0,1,0,1
TX000144,AC00108,233.74,0,28,582,584,29,2,66,Retired,17,1,1066.59,0,-32542217.0,0,0,0,0
TX000145,AC00397,113.02,0,17,355,396,18,1,69,Retired,166,1,6077.96,0,-35046779.0,0,0,0,0
TX000146,AC00434,45.85,1,20,235,189,84,0,20,Student,92,1,1659.15,0,-54137414.0,0,0,0,0
TX000147,AC00385,973.39,1,34,283,307,25,1,77,Retired,296,1,2042.22,0,-37291704.0,1,1,1,3
TX000148,AC00161,514.95,1,27,107,368,55,2,41,Doctor,142,5,421.93,1,-49296733.0,1,1,1,4
TX000149,AC00333,415.5,1,22,318,112,76,0,66,Doctor,141,1,10113.66,0,-40146060.0,0,0,0,0
TX000150,AC00279,265.76,1,30,155,384,48,2,54,Retired,92,1,4446.17,0,-55002203.0,0,0,0,0
TX000151,AC00072,69.4,1,41,398,344,72,2,80,Retired,113,1,6452.77,0,-40485621.0,0,0,0,0
TX000152,AC00242,332.93,0,0,531,43,38,1,35,Engineer,293,1,2788.2,0,-30209906.0,1,0,1,2
TX000153,AC00303,267.9,1,35,587,346,77,2,20,Student,160,1,596.16,0,-33837347.0,0,0,0,0
TX000154,AC00442,496.03,1,37,69,330,8,1,61,Doctor,265,1,12904.66,0,-31677829.0,0,0,0,0
TX000155,AC00087,376.26,1,40,465,548,80,0,37,Engineer,245,1,9062.4,0,-54228527.0,0,0,0,0
TX000156,AC00174,83.02,0,39,220,401,57,2,36,Engineer,171,1,9009.56,0,-36857470.0,0,0,0,0
TX000157,AC00421,93.26,0,27,421,236,91,2,20,Student,72,1,1152.2,0,-40232952.0,0,0,0,0
TX000158,AC00111,803.37,0,22,106,269,29,1,68,Doctor,129,1,12168.37,0,-48960006.0,1,0,0,1
TX000159,AC00275,35.76,1,5,658,37,56,1,23,Student,122,1,611.86,0,-35562802.0,0,0,0,0
TX000160,AC00492,28.53,1,42,300,343,34,2,62,Doctor,99,1,8670.53,0,-45156531.0,0,0,0,0
TX000161,AC00380,139.53,0,21,474,200,1,2,53,Doctor,177,1,10098.86,1,-33835642.0,0,0,0,1
TX000162,AC00227,307.57,1,11,75,79,48,1,33,Doctor,285,1,5307.74,0,-57426872.0,0,0,0,0
TX000163,AC00257,60.65,0,40,441,4,84,1,56,Retired,53,1,1047.28,0,-45582854.0,0,0,0,0
TX000164,AC00062,74.86,1,26,113,180,27,1,70,Doctor,125,1,6921.48,0,-38672662.0,0,0,0,0
TX000165,AC00383,117.97,1,18,273,292,99,1,51,Retired,137,1,1475.46,0,-29855869.0,0,0,0,0
TX000166,AC00182,231.91,1,22,357,184,43,0,34,Engineer,165,1,112.76,0,-55518053.0,0,0,0,0
TX000167,AC00478,126.21,1,3,0,114,0,1,75,Retired,268,1,5669.66,0,-54316901.0,0,0,0,0
TX000168,AC00332,506.28,0,6,588,31,9,2,53,Retired,162,2,1309.95,0,-47660740.0,1,0,0,1
TX000169,AC00202,304.35,1,15,273,238,6,1,31,Engineer,36,1,4057.1,0,-28998071.0,0,0,0,0
TX000170,AC00331,281.85,1,11,146,353,12,0,22,Student,109,1,1585.98,1,-46449661.0,0,0,0,1
TX000171,AC00474,777.88,1,15,421,109,17,1,31,Engineer,17,1,6825.55,0,-51376263.0,0,0,0,0
TX000172,AC00268,119.18,1,20,299,510,92,1,56,Retired,96,1,5516.5,0,-37721156.0,0,0,0,0
TX000173,AC00247,177.19,1,6,646,87,87,2,76,Retired,43,1,5343.3,0,-46536062.0,0,0,0,0
TX000174,AC00298,260.88,1,10,315,243,93,1,22,Student,36,1,903.05,0,-45328602.0,0,0,0,0
TX000175,AC00106,169.47,1,6,60,70,45,2,24,Student,19,1,1806.16,0,-51206243.0,0,0,0,0
TX000176,AC00035,73.23,1,32,58,158,21,1,26,Student,14,1,787.74,0,-46192699.0,0,0,0,0
TX000177,AC00363,1362.55,1,12,207,580,0,0,29,Engineer,106,1,2429.68,1,-54655438.0,0,0,1,2
TX000178,AC00273,792.57,1,3,409,32,58,0,19,Student,164,1,770.37,0,-45935283.0,0,0,0,0
TX000179,AC00156,237.06,1,31,440,489,48,2,71,Retired,46,1,1182.77,0,-27789633.0,0,1,0,1
TX000180,AC00010,34.17,0,30,35,227,90,2,54,Engineer,54,1,726.55,0,-30121726.0,0,0,0,0
TX000181,AC00036,740.25,1,30,29,0,9,2,41,Doctor,123,1,14464.3,1,-40921469.0,0,0,1,2
TX000182,AC00149,453.54,1,0,148,365,16,0,58,Doctor,82,1,12046.3,0,-48785763.0,0,0,0,0
TX000183,AC00225,300.47,1,17,264,160,64,1,73,Retired,100,1,7885.64,0,-30815768.0,0,0,0,0
TX000184,AC00077,110.93,0,41,140,12,35,1,19,Student,201,1,1952.35,0,-49822358.0,1,0,0,1
TX000185,AC00440,201.69,1,19,606,272,18,0,59,Doctor,299,1,7328.52,0,-57943420.0,0,0,0,0
TX000186,AC00321,399.21,1,32,292,388,61,0,59,Engineer,109,1,3210.39,0,-55612352.0,0,0,0,0
TX000187,AC00099,1041.88,1,17,203,394,31,2,78,Retired,57,1,5726.2,1,-36688962.0,0,0,1,2
TX000188,AC00258,630.36,1,23,89,303,83,0,62,Retired,52,1,1363.65,0,-52934422.0,0,0,0,0
TX000189,AC00132,10.94,0,30,486,5,82,0,60,Engineer,245,1,1241.99,0,-32626066.0,1,0,1,2
TX000190,AC00113,215.9,1,20,399,133,82,0,38,Doctor,235,1,7873.28,0,-57859694.0,0,0,0,0
TX000191,AC00396,1422.55,1,42,552,251,71,1,79,Retired,165,1,5674.32,1,-41696252.0,1,1,1,4
TX000192,AC00099,226.37,0,21,611,319,40,1,49,Doctor,141,1,9840.04,0,-35650968.0,0,0,0,0
TX000193,AC00265,444.89,0,19,169,430,59,1,43,Doctor,101,1,10328.23,1,-36258251.0,0,0,0,1
TX000194,AC00047,280.57,0,41,521,212,16,2,25,Student,24,1,293.24,0,-55866919.0,1,1,0,2
TX000195,AC00005,488.54,1,17,451,291,35,1,52,Engineer,132,1,7486.63,0,-42301177.0,0,0,0,0
TX000196,AC00363,3.3,0,20,209,59,84,1,50,Doctor,131,1,11385.37,1,-50772475.0,0,0,0,1
TX000197,AC00426,199.39,1,7,294,280,22,1,69,Retired,165,1,7264.79,0,-38073164.0,0,0,0,0
TX000198,AC00107,20.36,1,40,81,584,68,1,62,Retired,75,1,2762.48,0,-40489737.0,0,0,0,0
TX000199,AC00237,113.64,1,11,21,390,37,2,62,Retired,32,1,6675.03,0,-32540294.0,0,0,0,0
TX000200,AC00358,493.11,1,7,226,402,21,1,53,Retired,236,1,7432.99,0,-39886955.0,0,0,0,0
TX000201,AC00113,307.41,1,20,13,2,6,0,19,Student,14,1,1057.0,0,-44116616.0,0,0,0,0
TX000202,AC00010,11.18,1,1,127,173,16,2,43,Doctor,161,1,5956.89,0,-29344658.0,0,0,0,0
TX000203,AC00499,313.82,1,40,345,231,96,1,59,Engineer,151,1,7261.59,0,-30633064.0,0,0,0,0
TX000204,AC00380,51.0,1,39,194,275,62,1,64,Retired,107,1,4943.16,0,-55613265.0,0,0,0,0
TX000205,AC00452,140.98,1,22,359,271,58,1,60,Engineer,100,1,8127.48,0,-45675471.0,0,0,0,0
TX000206,AC00020,288.04,1,10,565,317,91,0,68,Retired,63,1,1748.02,0,-37812159.0,0,0,0,0
TX000207,AC00181,800.55,1,28,637,533,61,0,31,Engineer,108,1,9660.22,0,-47490318.0,0,0,0,0
TX000208,AC00370,485.54,1,15,572,112,60,0,46,Engineer,143,1,6371.51,0,-55002287.0,0,0,0,0
TX000209,AC00453,521.15,1,18,106,198,83,0,54,Doctor,214,1,9442.47,0,-54049886.0,0,0,0,0
TX000210,AC00339,321.79,0,33,520,556,55,0,63,Retired,61,1,5959.2,0,-39278368.0,0,0,0,0
TX000211,AC00249,304.93,1,32,680,326,97,0,65,Doctor,158,1,13531.22,0,-53451893.0,0,0,0,0
TX000212,AC00479,432.08,1,12,72,420,43,0,40,Doctor,145,1,11500.62,0,-39888411.0,0,0,0,0
TX000213,AC00301,694.2,1,25,6,376,34,0,61,Retired,72,1,1389.37,0,-28741635.0,0,0,0,0
TX000214,AC00380,116.86,1,21,514,239,87,0,55,Engineer,171,1,6706.56,0,-51371007.0,0,0,0,0
TX000215,AC00130,386.81,0,11,242,399,38,2,57,Doctor,149,1,7175.29,0,-52841278.0,0,0,0,0
TX000216,AC00006,74.88,1,1,137,179,25,0,25,Student,202,1,420.67,0,-45762116.0,0,0,0,0
TX000217,AC00096,195.76,1,30,500,62,55,1,75,Retired,99,1,7323.53,0,-45935549.0,0,0,0,0
TX000218,AC00108,134.7,1,13,617,157,73,0,50,Doctor,106,1,8395.85,0,-38074069.0,0,0,0,0
TX000219,AC00070,890.24,0,19,217,380,28,2,33,Engineer,161,1,5140.93,1,-41954629.0,1,0,0,2
TX000220,AC00417,361.27,1,29,656,527,87,0,63,Doctor,180,1,7945.57,0,-57683294.0,0,0,0,0
TX000221,AC00391,131.56,1,5,198,377,13,1,44,Doctor,42,1,5873.54,0,-32973875.0,0,0,0,0
TX000222,AC00414,485.51,0,25,445,569,96,2,76,Retired,37,1,3074.45,0,-29517515.0,0,0,0,0
TX000223,AC00004,547.87,1,8,179,252,63,0,64,Retired,131,1,6155.76,0,-41698504.0,0,0,0,0
TX000224,AC00047,457.3,1,41,208,492,41,2,28,Engineer,15,1,8318.29,0,-42903752.0,0,0,0,0
TX000225,AC00198,506.24,1,6,304,98,76,0,58,Engineer,64,1,230.09,0,-57079634.0,0,0,0,0
TX000226,AC00314,486.59,1,16,28,80,16,1,57,Retired,119,1,2513.56,0,-27702885.0,0,0,0,0
TX000227,AC00212,163.68,1,36,425,404,86,1,41,Doctor,292,1,10090.05,0,-34789804.0,0,0,0,0
TX000228,AC00115,581.65,1,4,646,539,8,0,22,Student,176,1,480.19,0,-57424481.0,0,0,0,0
TX000229,AC00055,52.01,1,23,632,229,18,0,48,Doctor,85,1,1120.88,0,-31332323.0,0,0,0,0
TX000230,AC00427,630.24,1,4,531,67,53,0,21,Student,62,1,370.81,0,-29426482.0,0,0,0,0
TX000231,AC00401,523.74,1,28,534,344,98,0,43,Doctor,159,1,13498.55,0,-31764615.0,0,0,0,0
TX000232,AC00430,705.6,1,31,101,316,70,1,40,Doctor,124,3,14804.7,0,-53789241.0,1,1,1,3
TX000233,AC00299,217.5,0,10,469,13,42,1,46,Engineer,35,1,3057.4,0,-32620330.0,0,0,0,0
TX000234,AC00345,91.48,1,13,286,178,80,0,51,Doctor,141,1,14942.78,0,-56215126.0,0,0,0,0
TX000235,AC00430,5.25,1,38,554,578,9,0,39,Doctor,49,1,14143.32,1,-30807958.0,0,1,0,2
